ID,rule_1_1,rule_1_11,rule_1_13,rule_1_14,rule_1_15,rule_1_15A,rule_1_15B,rule_1_16,rule_1_2,rule_1_3,rule_1_4,rule_1_5,rule_1_6,rule_1_7,rule_1_8,rule_1_9,rule_2_1,rule_2_2,rule_2_3,rule_2_4,rule_3_1,rule_3_2,rule_3_3,rule_3_4,rule_3_5,rule_3_6,rule_3_7,rule_3_8,rule_3_9,rule_4_1,rule_4_2,rule_4_3,rule_4_4,rule_5_1,rule_5_2,rule_5_3,rule_5_4,rule_5_5,rule_5_6,rule_5_7,rule_5_8,rule_6_1,rule_6_2,rule_6_3,rule_6_4,rule_6_5,rule_7_1,rule_7_2,rule_7_3,rule_7_4,rule_7_5,rule_7_6,rule_8_1,rule_8_2,rule_8_4,rule_8_4a,rule_8_4b,rule_8_4c,rule_8_4d,rule_8_4i,rule_8_4j,rule_8_4k,rule_8_4l,rule_8_4n,rule_8_5,PC1,PC2,PC3,PC4,PC5,PC6
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15284289,-1.0244746,-.66977847,.19186163,-.53128302,-.600214
38,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,-5.0806065,3.616055,6.277977,-8.0327311,-.10887811,-3.3361456
39,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.19169958,.16555066,-1.0472023,.4532809,-.35146877,.18533979
40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9454775,-.87666082,.33988684,.66031998,-.21886067,-.060565155
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-2.4799724,-.57262856,.89459282,.087612048,-1.5536689,1.0744776
42,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,-7.7345982,6.0041075,3.5692382,1.3999826,2.0482941,1.2162997
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-3.726372,-1.0228972,.81356114,-.11026479,-1.4214242,-1.2134926
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,-9.339777,.81023937,4.3124509,-2.6728537,-4.4096384,-3.2224154
45,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4.2638397,-.25471696,-.69616467,3.0402391,6.9586835,1.9912393
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.12406643,-1.4402313,-.48787168,-.39527401,-.26181361,.25749701
47,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.31780013,.073026896,-.79054594,.53538239,-.075701311,-.089651205
48,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,-6.3905168,5.883532,2.8975513,-1.1791143,-.20339489,1.127371
49,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.48563921,.24591,1.872054,-.52719301,.48292655,-.60754603
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.8624896,-1.3660851,.013180968,-.043785997,-.66566813,-.51320446
51,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.0146091,2.8739359,-.79091293,2.1469436,2.8673162,1.128929
52,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-4.2912107,2.356441,.28651306,2.4125316,1.09586,1.2936362
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-3.726372,-1.0228972,.81356114,-.11026479,-1.4214242,-1.2134926
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1.2401723,-.69759989,-.39454478,-.18011552,-.53427231,-.28393593
55,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.0149862,.85218292,.31408477,-.75031155,-.29654685,.024449157
56,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.8919125,2.6310217,-.2406635,1.9982042,-1.3621358,.51197296
